"state","year","fiscal_1","party","elect1","elect2","income_1","nbrpercn","religion","intercept","event"
7,64,-0.16,0,0,1,93.27,0,1.3,1,0
8,64,-0.298,1,0,0,98.41,0,2.9,1,0
9,64,-0.211,1,0,0,64.98,0,15.3,1,0
10,64,-0.206,1,0,1,55.48,0,31.1,1,0
12,64,-0.198,1,0,1,58.22,0,33.6,1,0
13,64,-0.179,0,0,0,86.6,0,8.1,1,0
14,64,-0.246,1,0,0,72.67,0,10.3,1,0
15,64,-0.214,1,0,0,67.81,0,7.8,1,0
16,64,-0.24,1,0,0,66.75,0,10.5,1,0
17,64,-0.254,1,0,1,52.29,0,31.4,1,0
18,64,-0.25,1,0,0,53.33,0,18.4,1,0
19,64,-0.144,0,0,1,61.32,0.5,2.3,1,0
20,64,-0.31,1,0,1,81.78,0,4.9,1,0
21,64,-0.317,0,0,0,85.66,0.1667,0.8,1,0
22,64,-0.235,0,0,0,78.22,0,7.5,1,0
23,64,-0.256,9,0,1,67.81,0,9.3,1,0
24,64,-0.3,1,0,1,41.33,0,34.4,1,0
25,64,-0.175,1,0,0,73.36,0,20.4,1,0
26,64,-0.136,0,0,0,64.59,0,7.9,1,0
27,64,-0.176,9,0,0,89.28,0,10.9,1,0
28,64,-0.206,0,0,1,119.7,0,13.4,1,0
29,64,-0.189,0,1,0,12,0,1,1,0
30,64,-0.18,0,1,0,85.88,0,1.1,1,0
31,64,-0.199,1,0,0,58.42,0,16.4,1,0
32,64,-0.356,0,0,1,90.58,0,1.4,1,0
33,64,-0.257,1,0,0,54.63,0,28.5,1,0
34,64,-0.167,0,0,0,60.57,0,6.9,1,0
35,64,-0.193,0,0,1,75.54,0,5.7,1,0
36,64,-0.235,0,0,1,59.69,0,33.2,1,0
37,64,-0.201,0,0,1,73.97,0,10,1,0
38,64,-0.199,0,0,1,74.12,0,2,1,0
39,64,-0.195,0,0,0,74.38,0,0.7,1,0
40,64,-0.195,1,0,1,47.86,0,32.2,1,0
41,64,-0.105,1,0,0,54.89,0,9.9,1,0
42,64,-0.213,1,0,1,70.09,0,31.9,1,0
43,64,-0.159,1,0,0,82.61,0,24.4,1,0
44,64,-0.231,1,0,0,62.64,0,75.9,1,0
45,64,-0.103,0,0,0,62.17,0.3333,1,1,0
46,64,-0.21,1,1,0,64.18,0,16.8,1,0
47,64,-0.237,0,0,0,75.71,0,7,1,0
48,64,-0.166,1,0,0,55.42,0,6.8,1,0
49,64,-0.323,0,0,0,71.37,0,11.8,1,0
50,64,-0.17,0,0,1,70.85,0,15.3,1,0
1,65,-0.233,1,1,0,53.54,0,34,1,0
3,65,-0.221,1,1,0,66.48,0,14.5,1,0
4,65,-0.154,1,1,0,51.64,0,29.6,1,0
5,65,-0.339,1,1,0,91.4,0,6.2,1,0
6,65,-0.258,0,1,0,76.1,0,8.9,1,0
7,65,-0.165,0,1,0,95.14,0,1.3,1,0
8,65,-0.277,1,0,1,94.76,0,2.9,1,0
9,65,-0.243,1,1,0,67.98,0,15.3,1,0
10,65,-0.211,1,1,0,60.49,0,31.1,1,0
12,65,-0.152,1,1,0,67.09,0,33.6,1,0
13,65,-0.229,0,0,1,92.03,0,8.1,1,0
14,65,-0.242,1,0,1,79.82,0,10.3,1,0
15,65,-0.226,1,1,0,74.99,0,7.8,1,0
16,65,-0.195,1,1,0,74.02,0,10.5,1,0
17,65,-0.206,1,0,1,57.33,0,31.4,1,0
18,65,-0.22,1,0,1,58.08,0,18.4,1,0
19,65,-0.095,0,1,0,63.93,0.5,2.3,1,0
20,65,-0.3,1,1,0,84.24,0,4.9,1,0
21,65,-0.31,0,1,0,85.54,0.1667,0.8,1,1
22,65,-0.22,0,1,0,84.37,0,7.5,1,0
23,65,-0.271,9,1,0,74.86,0,9.3,1,0
24,65,-0.254,1,0,1,44.86,0,34.4,1,0
25,65,-0.144,1,0,1,74.67,0,20.4,1,0
26,65,-0.15,0,0,1,68.49,0,7.9,1,0
27,65,-0.182,9,1,0,95.94,0,10.9,1,0
28,65,-0.189,0,1,0,121,0,13.4,1,0
29,65,-0.189,0,1,0,55,0,1,1,0
30,65,-0.166,1,0,0,90.64,0,1.1,1,0
31,65,-0.186,1,1,0,61.21,0,16.4,1,0
32,65,-0.352,0,1,0,91.94,0,1.4,1,0
33,65,-0.233,1,0,1,57.24,0,28.5,1,0
34,65,-0.101,0,0,1,64.03,0,6.9,1,0
35,65,-0.235,0,1,0,79.25,0,5.7,1,0
36,65,-0.2,0,1,0,63.99,0,33.2,1,0
37,65,-0.194,0,1,0,77.48,0,10,1,0
38,65,-0.198,0,1,0,77.02,0,2,1,0
39,65,-0.197,0,1,0,79.18,0,0.7,1,0
40,65,-0.199,1,1,0,51.69,0,32.2,1,0
41,65,-0.109,1,1,0,61.89,0,9.9,1,0
42,65,-0.215,1,1,0,73.61,0,31.9,1,0
43,65,-0.103,1,1,0,85.61,0,24.4,1,0
44,65,-0.285,1,0,1,66.33,0,75.9,1,0
45,65,-0.098,0,1,0,65.01,0.3333,1,1,0
46,65,-0.199,1,0,0,67.73,0,16.8,1,0
47,65,-0.259,0,0,1,81.45,0,7,1,0
48,65,-0.169,1,0,1,56.8,0,6.8,1,0
49,65,-0.338,0,1,0,76.31,0,11.8,1,0
50,65,-0.155,0,1,0,71.52,0,15.3,1,0
1,66,-0.092,1,0,0,56.22,0,34,1,0
3,66,-0.072,1,0,0,69.22,0,14.5,1,0
4,66,0.004,0,0,0,54.69,0,29.6,1,0
5,66,-0.176,0,0,0,94.07,0,6.2,1,0
6,66,-0.012,1,0,0,79.34,0,8.9,1,0
7,66,-0.081,1,0,0,100.4,0,1.3,1,0
8,66,-0.033,0,0,1,96.06,0,2.9,1,0
9,66,0.002,0,0,0,71.16,0,15.3,1,0
10,66,0.012,1,0,0,64.76,0,31.1,1,0
12,66,-0.057,1,0,0,66.52,0,33.6,1,0
13,66,-0.003,0,0,1,96.09,0,8.1,1,0
14,66,0.017,0,0,1,83.7,0,10.3,1,0
15,66,-0.028,0,0,0,81.42,0,7.8,1,0
16,66,0.026,0,0,0,77.88,0,10.5,1,0
17,66,-0.068,1,1,0,61.1,0,31.4,1,0
18,66,0.02,1,0,1,61.95,0,18.4,1,0
19,66,-0.11,0,0,0,67.39,0.5,2.3,1,0
20,66,-0.06,0,0,0,87.21,0,4.9,1,0
22,66,-0.097,0,0,0,88.96,0,7.5,1,0
23,66,0.05,9,0,0,79.02,0,9.3,1,0
24,66,-0.017,1,1,0,48.36,0,34.4,1,0
25,66,0.047,1,0,1,76.65,0,20.4,1,0
26,66,-0.132,0,0,1,71.4,0,7.9,1,0
27,66,-0.037,9,0,0,99.62,0,10.9,1,0
28,66,-0.164,0,0,0,119.9,0,13.4,1,0
29,66,-0.189,0,1,0,2,0,1,1,0
30,66,-0.121,1,0,1,93.74,0,1.1,1,0
31,66,0.022,0,0,0,64.9,0,16.4,1,0
32,66,-0.156,0,0,0,95.17,0,1.4,1,0
33,66,0.018,1,0,1,61.93,0,28.5,1,0
34,66,-0.01,0,0,1,64.87,0,6.9,1,0
35,66,-0.205,1,0,0,83.15,0,5.7,1,0
36,66,-0.028,0,0,0,67,0,33.2,1,0
37,66,-0.145,0,0,0,79.14,0,10,1,0
38,66,-0.146,1,0,0,80.77,0,2,1,0
39,66,-0.185,0,0,0,82.72,0,0.7,1,0
40,66,0.038,1,0,0,55.81,0,32.2,1,0
41,66,-0.05,1,0,0,65.84,0,9.9,1,0
42,66,-0.059,1,0,0,76.37,0,31.9,1,0
43,66,0.048,1,0,0,87.15,0,24.4,1,0
44,66,-0.15,0,0,1,67.61,0,75.9,1,0
45,66,-0.115,0,0,0,70.58,0.3333,1,1,0
46,66,-0.126,1,0,1,70.94,0,16.8,1,0
47,66,-0.047,0,0,1,87.69,0,7,1,0
48,66,-0.156,1,0,1,59.22,0,6.8,1,0
49,66,-0.047,1,0,0,80.91,0,11.8,1,0
50,66,-0.135,1,0,0,74.55,0,15.3,1,0
1,67,-0.15,1,0,1,57.59,0,34,1,0
3,67,-0.095,1,1,0,72.15,0,14.5,1,0
4,67,-0.018,0,1,0,55.66,0,29.6,1,0
5,67,-0.207,0,0,1,98.26,0,6.2,1,0
6,67,-0.048,1,0,1,81.78,0,8.9,1,0
7,67,-0.061,1,0,1,105.7,0.3333,1.3,1,0
8,67,-0.138,0,1,0,96.62,0,2.9,1,0
9,67,-0.028,0,0,1,75.31,0,15.3,1,0
10,67,-0.042,1,0,1,67.82,0,31.1,1,0
12,67,-0.062,1,0,1,68.25,0,33.6,1,0
13,67,-0.114,0,1,0,99.73,0,8.1,1,0
14,67,-0.014,0,1,0,84.74,0,10.3,1,0
15,67,-0.053,0,1,0,82.05,0,7.8,1,0
16,67,0.025,0,1,0,81.11,0,10.5,1,0
17,67,-0.093,0,0,0,64.24,0,31.4,1,0
18,67,-0.091,1,1,0,65.27,0,18.4,1,0
19,67,-0.181,0,0,1,69.96,0.5,2.3,1,0
20,67,-0.053,0,0,1,90.96,0,4.9,1,0
22,67,-0.169,0,0,1,90.01,0,7.5,1,0
23,67,0.035,9,0,1,81.84,0,9.3,1,0
24,67,-0.04,1,0,0,50.49,0,34.4,1,0
25,67,0,1,1,0,79.94,0,20.4,1,0
26,67,-0.153,0,1,0,73.73,0,7.9,1,0
27,67,-0.05,9,0,1,102.6,0,10.9,1,0
28,67,-0.139,0,0,1,121.7,0,13.4,1,0
29,67,-0.189,0,1,0,59,0,1,1,0
30,67,-0.047,0,0,1,97.79,0.3333,1.1,1,0
31,67,0,0,1,0,65.89,0,16.4,1,0
32,67,-0.156,0,0,1,90.58,0,1.4,1,0
33,67,-0.027,1,1,0,64.45,0,28.5,1,0
34,67,-0.066,0,1,0,66.82,0,6.9,1,0
35,67,-0.235,1,0,1,85.16,0,5.7,1,0
36,67,-0.051,0,0,1,69.66,0,33.2,1,0
37,67,-0.218,0,0,1,82.14,0,10,1,0
38,67,-0.187,1,0,1,84.4,0.1667,2,1,0
39,67,-0.269,0,1,0,88.35,0,0.7,1,0
40,67,-0.01,1,0,1,57.95,0,32.2,1,0
41,67,-0.01,1,1,0,69.43,0,9.9,1,0
42,67,-0.071,1,0,1,79.26,0,31.9,1,0
43,67,-0.012,1,1,0,91.99,0,24.4,1,0
44,67,-0.128,0,1,0,69.36,0,75.9,1,0
45,67,-0.221,0,1,0,74.55,0.6667,1,1,0
46,67,-0.141,1,0,1,74.44,0,16.8,1,0
47,67,-0.142,0,1,0,90.07,0,7,1,0
48,67,-0.178,1,1,0,61.73,0,6.8,1,0
49,67,-0.059,1,1,0,83.78,0,11.8,1,0
50,67,-0.117,1,0,1,78.82,0,15.3,1,0
1,68,-0.145,1,0,1,61.44,0,34,1,0
3,68,0.011,1,0,0,76.2,0,14.5,1,0
4,68,-0.067,0,0,0,61.73,0,29.6,1,0
5,68,-0.106,0,0,1,100.5,0,6.2,1,1
6,68,-0.057,1,0,1,81.96,0,8.9,1,0
7,68,-0.136,1,0,1,108.3,0.3333,1.3,1,0
8,68,-0.09,1,0,0,96.6,0,2.9,1,0
9,68,-0.037,0,0,1,77.68,0,15.3,1,0
10,68,-0.063,1,0,1,72.17,0,31.1,1,0
12,68,-0.025,1,0,1,68.73,0,33.6,1,0
13,68,-0.038,1,0,0,101.3,0,8.1,1,0
14,68,-0.083,1,0,0,86.34,0,10.3,1,0
15,68,-0.133,1,0,0,82.27,0,7.8,1,0
16,68,-0.002,0,0,0,86.99,0,10.5,1,0
17,68,-0.146,0,0,1,67.87,0,31.4,1,0
18,68,-0.07,1,0,0,69.35,0,18.4,1,0
19,68,-0.196,0,0,1,70.62,0.5,2.3,1,0
20,68,-0.072,1,0,1,93.76,0,4.9,1,0
22,68,-0.097,0,0,1,94.04,0,7.5,1,0
23,68,0,9,0,1,83.78,0,9.3,1,0
24,68,-0.122,1,0,1,55.97,0,34.4,1,0
25,68,-0.031,1,0,0,83.97,0,20.4,1,0
26,68,-0.149,0,0,0,74.17,0,7.9,1,0
27,68,0.061,9,0,1,95.46,0,10.9,1,0
28,68,-0.171,0,0,1,115.1,0,13.4,1,0
29,68,-0.189,0,1,0,44,0,1,1,0
30,68,-0.061,0,1,0,101.9,0.3333,1.1,1,0
31,68,0.009,0,0,0,68.32,0,16.4,1,0
32,68,-0.366,0,0,0,90.58,0,1.4,1,0
33,68,-0.057,1,0,0,69.41,0,28.5,1,0
34,68,-0.057,0,0,0,70.19,0,6.9,1,0
35,68,-0.226,1,0,1,89.95,0,5.7,1,0
36,68,-0.055,0,0,1,73.84,0,33.2,1,0
37,68,-0.222,0,0,1,84.62,0,10,1,0
38,68,-0.209,0,0,1,86.97,0.1667,2,1,1
39,68,-0.241,1,0,0,89.58,0,0.7,1,0
40,68,-0.067,1,0,1,63.09,0,32.2,1,0
41,68,-0.042,1,0,0,71.82,0,9.9,1,0
42,68,-0.034,0,0,1,79.42,0,31.9,1,0
43,68,-0.012,1,0,0,92.35,0,24.4,1,0
44,68,-0.106,0,0,0,71.39,0,75.9,1,0
45,68,-0.246,1,0,0,77.33,0.6667,1,1,0
46,68,-0.126,1,1,0,78.76,0,16.8,1,0
47,68,-0.106,0,0,0,94.07,0,7,1,0
48,68,-0.154,0,0,0,64.28,0,6.8,1,0
49,68,-0.098,1,0,0,83.19,0,11.8,1,0
50,68,-0.061,1,0,1,78.98,0,15.3,1,0
1,69,-0.118,1,1,0,64.59,0,34,1,0
3,69,-0.053,1,1,0,80.11,0,14.5,1,0
4,69,-0.023,0,1,0,63.24,0,29.6,1,0
6,69,-0.009,1,1,0,85.18,0,8.9,1,0
7,69,-0.205,1,1,0,112,0.3333,1.3,1,0
8,69,-0.145,1,0,1,100.1,0,2.9,1,0
9,69,-0.034,0,1,0,82.2,0,15.3,1,0
10,69,-0.044,1,1,0,76.34,0,31.1,1,0
12,69,-0.035,1,1,0,73.09,0,33.6,1,0
13,69,-0.063,1,0,1,104.5,0,8.1,1,0
14,69,-0.045,1,0,1,89.43,0,10.3,1,0
15,69,-0.141,1,1,0,85.77,0,7.8,1,0
16,69,-0.01,0,1,0,88.26,0,10.5,1,0
17,69,-0.047,0,0,1,70.14,0,31.4,1,0
18,69,-0.023,1,0,1,70.14,0,18.4,1,0
19,69,-0.197,0,1,0,73.4,0.5,2.3,1,0
20,69,-0.032,1,1,0,96.64,0,4.9,1,0
22,69,-0.065,0,1,0,97.19,0,7.5,1,0
23,69,0.009,9,1,0,87.23,0,9.3,1,0
24,69,-0.105,1,0,1,57.47,0,34.4,1,0
25,69,-0.095,1,0,1,84.5,0,20.4,1,0
26,69,-0.167,0,0,1,76.29,0,7.9,1,0
27,69,0.033,9,1,0,97.73,0,10.9,1,0
28,69,-0.071,0,1,0,116.9,0,13.4,1,0
29,69,-0.189,0,1,0,11,0,1,1,0
30,69,-0.08,1,0,0,104.1,0.3333,1.1,1,0
31,69,0.059,0,1,0,69.41,0,16.4,1,0
32,69,-0.156,0,1,0,90.58,0,1.4,1,0
33,69,-0.023,1,0,1,72.82,0,28.5,1,0
34,69,-0.019,0,0,1,72.69,0,6.9,1,0
35,69,-0.192,1,1,0,92.64,0,5.7,1,0
36,69,-0.017,0,1,0,75.24,0,33.2,1,0
37,69,-0.113,0,1,0,85.83,0,10,1,0
39,69,-0.214,1,1,0,91.93,0,0.7,1,0
40,69,-0.069,1,1,0,66.56,0,32.2,1,0
41,69,-0.031,1,1,0,72.8,0,9.9,1,0
42,69,-0.062,0,1,0,79.09,0,31.9,1,0
43,69,0.024,1,1,0,90.92,0,24.4,1,0
44,69,-0.119,0,0,1,72.92,0,75.9,1,0
45,69,-0.197,1,1,0,79.54,0.6667,1,1,0
46,69,-0.043,0,0,0,81.57,0,16.8,1,0
47,69,-0.14,0,0,1,95.47,0,7,1,0
48,69,-0.138,0,0,1,66.1,0,6.8,1,0
49,69,-0.09,1,1,0,85.61,0,11.8,1,0
50,69,-0.005,1,1,0,79.5,0,15.3,1,0
1,70,-0.122,1,0,0,66.85,0,34,1,0
3,70,-0.021,1,0,0,84.55,0,14.5,1,0
4,70,-0.01,1,0,0,66.46,0,29.6,1,0
6,70,-0.035,1,0,0,89.17,0,8.9,1,0
7,70,-0.191,0,0,0,112,0.3333,1.3,1,0
8,70,-0.123,1,0,1,101.7,0,2.9,1,0
9,70,-0.048,1,0,0,85.53,0,15.3,1,0
10,70,-0.046,1,0,0,77.99,0,31.1,1,0
12,70,-0.161,0,0,0,74.67,0,33.6,1,0
13,70,-0.006,0,0,1,104.8,0,8.1,1,0
14,70,-0.002,1,0,1,88.26,0,10.3,1,0
15,70,-0.127,1,0,0,87.25,0,7.8,1,0
16,70,-0.058,0,0,0,91.21,0,10.5,1,0
17,70,-0.091,0,1,0,72.17,0,31.4,1,0
18,70,-0.033,1,0,1,70.85,0,18.4,1,0
19,70,-0.194,0,0,0,74.82,0.5,2.3,1,0
20,70,0.007,1,0,0,100,0,4.9,1,0
22,70,-0.102,0,0,0,96.39,0,7.5,1,0
23,70,-0.052,9,0,0,89.79,0,9.3,1,0
24,70,-0.096,1,1,0,60.82,0,34.4,1,0
25,70,-0.104,1,0,1,86.57,0,20.4,1,0
26,70,-0.163,0,0,1,80.15,0,7.9,1,0
27,70,0.042,9,0,0,94.68,0,10.9,1,0
28,70,-0.101,0,0,0,112.3,0,13.4,1,0
29,70,-0.189,0,1,0,55,0,1,1,0
30,70,-0.167,1,0,1,106.6,0.3333,1.1,1,0
31,70,0.037,1,0,0,72.99,0,16.4,1,0
32,70,-0.156,0,0,1,87.56,0,1.4,1,0
33,70,-0.037,1,0,1,75.02,0,28.5,1,0
34,70,-0.036,0,0,1,71.43,0,6.9,1,0
35,70,-0.196,0,0,0,92.87,0,5.7,1,0
36,70,-0.044,1,0,0,78.09,0,33.2,1,0
37,70,-0.208,0,0,0,86.5,0,10,1,0
39,70,-0.148,1,0,0,90.69,0,0.7,1,0
40,70,-0.056,1,0,0,68.22,0,32.2,1,0
41,70,0.029,0,0,0,73.28,0,9.9,1,0
42,70,-0.07,0,0,0,77.35,0,31.9,1,0
43,70,0.015,1,0,0,90.03,0,24.4,1,0
44,70,-0.083,0,0,1,74.35,0,75.9,1,0
45,70,-0.18,0,0,0,78.22,0.6667,1,1,0
46,70,-0.089,0,0,1,85.04,0,16.8,1,0
47,70,-0.199,0,0,1,92.05,0,7,1,0
48,70,-0.179,0,0,1,70.64,0,6.8,1,0
49,70,-0.042,0,0,0,86.84,0,11.8,1,0
50,70,-0.061,1,0,0,83.75,0,15.3,1,0
1,71,-0.12,1,0,1,68.9,0,34,1,0
3,71,-0.068,1,0,1,87.22,0,14.5,1,0
4,71,-0.033,1,1,0,68.42,0,29.6,1,0
6,71,-0.077,1,0,1,92.82,0,8.9,1,0
7,71,-0.288,0,0,1,110.9,0.3333,1.3,1,0
8,71,-0.125,1,1,0,103.5,0.3333,2.9,1,0
9,71,-0.09,1,0,1,87.4,0,15.3,1,0
10,71,-0.086,1,0,1,80.13,0,31.1,1,0
12,71,-0.117,0,0,1,75.46,0,33.6,1,0
13,71,-0.051,0,1,0,106.2,0,8.1,1,1
14,71,-0.071,1,1,0,89.57,0,10.3,1,0
15,71,-0.143,1,1,0,86.34,0,7.8,1,0
16,71,-0.083,0,1,0,93.64,0,10.5,1,0
17,71,-0.05,1,0,0,73.34,0,31.4,1,0
18,71,-0.066,1,1,0,72.29,0,18.4,1,0
19,71,-0.207,0,0,1,74.74,0.5,2.3,1,0
20,71,-0.094,1,0,1,100.5,0,4.9,1,0
22,71,-0.149,0,0,1,98.67,0,7.5,1,0
23,71,-0.094,9,0,1,89.91,0,9.3,1,0
24,71,-0.097,1,0,0,62.29,0,34.4,1,0
25,71,-0.109,1,1,0,87.72,0,20.4,1,0
26,71,-0.18,0,1,0,81.47,0,7.9,1,0
27,71,-0.009,9,0,1,93.59,0,10.9,1,0
28,71,-0.092,0,0,1,113.4,0,13.4,1,0
29,71,-0.189,0,1,0,37,0,1,1,0
30,71,-0.18,1,0,1,104.1,0,1.1,1,0
31,71,0.023,1,0,1,72.38,0,16.4,1,0
32,71,-0.366,0,0,0,91.94,0,1.4,1,0
33,71,-0.04,1,1,0,75.94,0,28.5,1,0
34,71,-0.027,0,1,0,77.94,0,6.9,1,0
35,71,-0.224,0,0,1,92.81,0,5.7,1,0
36,71,-0.093,1,0,1,77.86,0,33.2,1,0
37,71,-0.187,0,0,1,88.41,0,10,1,0
39,71,-0.181,1,1,0,92.79,0,0.7,1,0
40,71,-0.021,1,0,1,69.91,0,32.2,1,0
41,71,-0.042,0,1,0,75.92,0,9.9,1,0
42,71,-0.093,0,0,1,76.47,0,31.9,1,0
43,71,-0.024,1,1,0,86.25,0,24.4,1,0
44,71,-0.095,0,1,0,77.2,0,75.9,1,0
45,71,-0.21,0,1,0,83.3,0.6667,1,1,0
46,71,-0.09,0,0,1,86.73,0,16.8,1,0
47,71,-0.281,0,1,0,91.78,0,7,1,0
48,71,-0.158,0,1,0,72.98,0,6.8,1,0
49,71,-0.093,0,0,1,87.04,0,11.8,1,0
50,71,-0.04,1,0,1,85.31,0,15.3,1,0
1,72,-0.087,1,0,1,71.15,0,34,1,0
3,72,-0.062,1,0,1,91.63,0,14.5,1,0
4,72,0.032,1,0,0,70.38,0,29.6,1,0
6,72,-0.039,1,0,1,95.11,0,8.9,1,0
7,72,-0.186,1,0,1,114.7,0.6667,1.3,1,0
8,72,-0.066,0,0,0,105,0.6667,2.9,1,0
9,72,-0.001,1,0,1,88.6,0,15.3,1,0
10,72,-0.005,1,0,1,82.34,0,31.1,1,0
12,72,-0.09,0,0,1,79.41,0,33.6,1,0
14,72,-0.041,1,0,0,93.98,0.25,10.3,1,0
15,72,-0.122,1,0,0,92.07,0,7.8,1,0
16,72,-0.041,0,0,0,98.19,0,10.5,1,0
17,72,-0.102,1,0,1,77.08,0,31.4,1,0
18,72,-0.052,1,0,0,75.04,0,18.4,1,0
19,72,-0.119,0,0,1,77.22,1,2.3,1,0
20,72,-0.132,1,0,1,105.3,0.25,4.9,1,0
22,72,-0.097,0,0,0,96.39,0,7.5,1,0
23,72,-0.055,9,0,1,93.34,0,9.3,1,0
24,72,-0.059,1,0,1,65.49,0,34.4,1,0
25,72,-0.039,0,0,0,90.22,0,20.4,1,0
26,72,-0.085,1,0,0,83.74,0,7.9,1,0
27,72,0.007,9,0,1,92.49,0,10.9,1,0
28,72,-0.144,1,0,1,108.5,0,13.4,1,0
29,72,-0.189,0,1,0,43,0,1,1,0
30,72,-0.121,1,0,1,97.79,0,1.1,1,0
31,72,0.038,1,0,1,77.61,0,16.4,1,0
32,72,-0.356,0,0,0,95.17,0,1.4,1,0
33,72,-0.008,0,0,0,79.57,0,28.5,1,0
34,72,-0.023,0,0,0,81.06,0,6.9,1,0
35,72,-0.191,0,0,1,96.81,0.4,5.7,1,0
36,72,-0.036,1,0,1,81.33,0,33.2,1,0
37,72,-0.2,0,0,1,92.12,0,10,1,0
39,72,-0.121,1,0,0,95.02,0.5,0.7,1,0
40,72,-0.017,1,0,1,73.29,0,32.2,1,0
41,72,-0.016,0,0,0,78.73,0,9.9,1,0
42,72,-0.009,0,0,1,77.3,0,31.9,1,0
43,72,0.011,1,0,0,86.92,0,24.4,1,0
44,72,-0.093,0,0,0,79.8,0,75.9,1,0
45,72,-0.168,0,0,0,83.79,1,1,1,0
46,72,-0.067,0,1,0,91.23,0,16.8,1,1
47,72,-0.158,0,0,0,96.48,0,7,1,0
48,72,-0.161,0,0,0,76.35,0.2,6.8,1,0
49,72,-0.047,0,0,1,89.89,0.5,11.8,1,0
50,72,-0.086,1,0,1,92.83,0,15.3,1,0
1,73,-0.044,1,1,0,78.37,0,34,1,0
3,73,-0.029,1,1,0,94.91,0,14.5,1,0
4,73,0.075,1,1,0,80.74,0,29.6,1,0
6,73,0.045,1,1,0,101.1,0,8.9,1,0
7,73,-0.059,1,1,0,120.5,0.6667,1.3,1,0
8,73,-0.152,0,0,1,116.8,1,2.9,1,1
9,73,0.024,1,1,0,99,0,15.3,1,0
10,73,-0.012,1,1,0,87.99,0,31.1,1,0
12,73,-0.067,0,1,0,88.87,0,33.6,1,0
14,73,-0.014,1,0,1,101.3,0.25,10.3,1,0
15,73,-0.04,1,1,0,108.4,0,7.8,1,0
16,73,0.08,0,1,0,108.4,0,10.5,1,1
17,73,-0.004,1,0,1,82.28,0,31.4,1,0
18,73,-0.047,1,0,1,87.72,0,18.4,1,0
19,73,-0.126,0,1,0,81.99,1,2.3,1,0
20,73,-0.06,1,0,1,105.3,0,4.9,1,1
22,73,-0.097,0,0,0,84.37,0,7.5,1,0
23,73,-0.018,9,1,0,104.3,0,9.3,1,0
